[ProjectileSpawnConfig],,,,,
SpawnDelay,SpawnRadiusMultiplier,,,,
2,3.5,,,,
[END],,,,,
[ProjectileData],,,,,
ProjectileType,SpawnProbability,Speed,Damage,,
Fireball,0.5,1,1,,
SpikeBall,0.25,1,2,,
Snowball,0.25,1,0.5,,
[END],,,,,
[PlanetData],,,,,
StartingHealth,Radius,,,,
100,5,,,,
[END],,,,,
[CameraShakeConfig],,,,,
Duration,Strength,Vibrato,Randomness,Snapping,FadeOut
0.3,0.5,10,90,FALSE,TRUE
[END],,,,,
[FreezePowerUp],,,,,
Duration,,,,,
2,,,,,
[END],,,,,
[BoundaryConfig],,,,,
InnerRadiusMultiplier,CenterPoint,Padding,,,
1,"(0,0)",0.5,,,
[END],,,,,
[SnakeConfig],,,,,
MoveSpeed,SteerSpeed,SteerLerpSpeed,BodyGap,InitialBodySize,
5,180,15,8,15,
[END],,,,,
